date,company,state,zip,product,sub_product,issue,sub_issue,consumer_complaint,company_response,tags,submitted_via,company_response_to_consumer,timely_response,consumer_disputed,ID
3/28/14,WELLS FARGO & COMPANY,FL,33441,Credit card,,Transaction issue,,,,Older American,Web,Closed with explanation,Yes,Yes,784021
4/23/14,WELLS FARGO & COMPANY,GA,30259,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,822166
6/12/13,BB&T CORPORATION,FL,33610,Bank account or service,Checking account,Deposits and withdrawals,,,,,Referral,Closed with explanation,Yes,No,430337
12/9/13,NISSAN MOTOR ACCEPTANCE CORPORATION,CT,6877,Consumer Loan,Vehicle lease,Managing the loan or lease,,,,,Web,Closed with explanation,Yes,Yes,625490
2/17/15,Experian Information Solutions Inc.,LA,71211,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Older American,Web,Closed with non-monetary relief,Yes,No,1241964
1/22/14,SANTANDER CONSUMER USA HOLDINGS INC.,NC,28712,Debt collection,Auto,Improper contact or sharing of info,Contacted me after I asked not to,,,Servicemember,Web,Closed with explanation,Yes,No,680214
8/31/14,"Interstate Recovery Service, Inc.",IL,60188,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,Servicemember,Web,Closed with explanation,No,No,1008925
11/4/15,Experian Information Solutions Inc.,MD,212XX,Credit reporting,,Incorrect information on credit report,Account status,"I opened a secured credit card with a limit of XXXX XXXX dollars. After a year or so, i decided to close that card, why pay interest to the bank for my money. This action happened to impact my credit negatively. No one informed me that this would impact my credit negatively and i do not understand how credit reporting companies can just look at information at face value and determine it requires a negative value. That practice is not aligned with core values and principles of lending. I did nothing wrong but i am punished for years as a result of this. Please take a moment and advise me on how to resolve my issue and what can i do to stop this practice that i will call an intentional oversight for lack of a proper term. Im sure this issue is XXXX, that XXXX americans experience everyday. 
Thank you in advance for your time and help. 
XXXX XXXX XXXX XXXX. XXXX, MD XXXX",Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1638935
1/21/14,Fix Media,MD,20720,Payday loan,,Can't contact lender,,,,Servicemember,Web,Closed with explanation,Yes,No,678521
12/22/14,Ditech Financial LLC,WA,98012,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,1167453
2/27/14,HSBC NORTH AMERICA HOLDINGS INC.,CA,94085,Bank account or service,Checking account,Deposits and withdrawals,,,,,Referral,Closed with explanation,Yes,Yes,734396
1/13/16,Experian Information Solutions Inc.,TX,787XX,Credit reporting,,Incorrect information on credit report,Information is not mine,I have contacted XXXX XXXX XXXX several times and they say they have no record of my account but it continues to be listed on my report. XXXX time I called and they said it was my husband 's account but it is not listed on his credit report. They do n't know how to remove it.,Company chooses not to provide a public response,Servicemember,Web,Closed with explanation,Yes,No,1742861
2/14/15,OCWEN LOAN SERVICING LLC,CA,91762,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,1241043
10/14/16,JPMORGAN CHASE & CO.,NJ,071XX,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"This is a follow up to claim # XXXX in which I disputed JPM claims that they do n't recognize or could n't find any loan on XXXX XXXX XXXX XXXX XXXX. I 'm still waiting for their response regarding : ( 1 ) Indicate whether apartment XXXX was one of the apartments pledged as collateral ( 2 ) The loan was originated by XXXX but then transferred to an Investor who used JPM as the servicing agent. Please indicate the promissory note owner. 
( 3 ) Date loan was fully paid off. 
( 4 ) Status of the lien release To assist in identifying the loan I enclosed and I am enclosing below copies of loan documents, XXXX filed as the servicer as well as copy of a check the corporation issued in payment of one of the mortgage installments.",,,Web,Closed with explanation,Yes,No,2158521
10/30/13,WELLS FARGO & COMPANY,WI,53218,Bank account or service,Checking account,Deposits and withdrawals,,,,,Web,Closed with explanation,Yes,No,578223
3/28/17,Aspen Yo LLC,MD,20744,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,,Referral,Closed,Yes,No,2408574
6/23/16,Experian Information Solutions Inc.,NJ,7631,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Referral,Closed with explanation,Yes,No,1981405
3/12/13,AES/PHEAA,OK,73644,Student loan,Non-federal student loan,Repaying your loan,,,,,Web,Closed with explanation,Yes,No,351307
7/20/16,"Fidelity National Information Services, Inc. (FNIS)",IL,60188,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,,Web,Closed with explanation,Yes,Yes,2021333
9/15/14,CAPITAL ONE FINANCIAL CORPORATION,LA,70616,Bank account or service,Checking account,"Account opening, closing, or management",,,,,Referral,Closed with explanation,Yes,No,1029118
3/20/15,SANTANDER CONSUMER USA HOLDINGS INC.,WI,53225,Consumer Loan,Vehicle loan,Shopping for a loan or lease,,,,,Web,Closed with explanation,Yes,Yes,1293964
7/19/16,"Allgate Financial, LLC",CA,92154,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,No,2018218
2/8/16,Revenue Recovery Corporation,MD,20895,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1778142
5/12/15,"CITIBANK, N.A.",KS,67203,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Older American,Phone,Closed with explanation,Yes,No,1372072
1/17/13,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",PA,19526,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,,Web,Closed with explanation,Yes,No,240614
2/5/14,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30233,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,710480
9/24/14,OCWEN LOAN SERVICING LLC,NJ,8753,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,,Referral,Closed with explanation,Yes,No,1043108
3/31/16,"EQUIFAX, INC.",TX,79763,Credit reporting,,Incorrect information on credit report,Information is not mine,,,,Web,Closed with explanation,Yes,No,1858460
9/10/15,"Seterus, Inc.",MN,56425,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,1558221
12/2/15,"BANK OF AMERICA, NATIONAL ASSOCIATION",OR,97238,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,,Referral,Closed with explanation,Yes,No,1680489
12/12/16,WELLS FARGO & COMPANY,CA,92020,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,2245089
12/10/14,JPMORGAN CHASE & CO.,PA,19453,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,,Web,Closed with explanation,Yes,No,1150836
2/9/17,"Southwest Credit Systems, L.P.",MD,206XX,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,This debt came from XXXX XXXX who reported the debt to XXXX in XX/XX/XXXX however I submitted the receipt and they sent a letter they would remove the information. In XX/XX/XXXX now the same debt is with Southwest Credit Systems. I asked them more than once to remove this inaccurate information however it still remains on my credit report.,,,Web,Closed with explanation,Yes,No,2337129
12/19/14,"CITIBANK, N.A.",VA,23225,Prepaid card,Payroll card,"Managing, opening, or closing account",,,,,Web,Closed with explanation,Yes,No,1164996
5/27/15,WELLS FARGO & COMPANY,MA,2152,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,,Referral,Closed with explanation,Yes,No,1393385
6/29/15,"The CBE Group, Inc.",CA,911XX,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,Began receiving repeated calls without identifying self and I learned from online search company is a debt collector whom I have had no previous business-letter-phone contact whatsoever?,,Older American,Web,Closed with explanation,Yes,No,1446046
3/20/16,"BANK OF AMERICA, NATIONAL ASSOCIATION",VA,245XX,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,Yes,1840834
1/28/14,OCWEN LOAN SERVICING LLC,NJ,7751,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,Yes,688092
1/22/15,"OLIPHANT FINANCIAL, LLC",WA,98109,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,,,,Web,Closed with explanation,Yes,No,1203286
11/13/15,"Residential Credit Solutions, Inc.",IL,601XX,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,"Residential Credit Solutions in Texas has been trying to foreclose on our mortgage. They have dragged this case through court for 5+ years and have refused us a trial modification. They also refuse to speak to me or my husband regarding our loan or options. They drag it out and drag it out and then tell us that our loan is delinquent for an excessive amount of months which has been out of our control. They also have lost the original note. We have a court date tomorrow and are going to ask for more time to appeal their decision, but do n't know if the judge will allow us more time. 

Also this is a VA loan and the VA has never tried to help us or counsel us!",,Servicemember,Web,Closed with explanation,Yes,No,1654955
11/15/13,ENCORE CAPITAL GROUP INC.,VA,24101,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,,Web,Closed with explanation,Yes,No,600237
7/25/16,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,32832,Credit reporting,,Credit reporting company's investigation,Investigation took too long,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,2028280
9/23/13,TD BANK US HOLDING COMPANY,NY,11423,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,,Referral,Closed with explanation,Yes,No,538623
12/14/16,Experian Information Solutions Inc.,WA,980XX,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,"Every year I get trouble to order my free credit report from Experian After I input my name, date of birth, social security number and address I 'm getting this message : We 're sorry A condition exists that prevents Experian from being able to accept your request at this time. 

To obtain your Experian annual credit report, please mail your request to the address below using the XXXX Request form. 

XXXX, GA XXXX And this is a common issue I see with people online on forum. 
I tried and asked other friends to try and they get similar error. 
I wish all credit bureaus would make this process more smoother.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with non-monetary relief,Yes,Yes,2248702
7/11/15,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,349XX,Credit reporting,,Incorrect information on credit report,Account terms,"My credit dropped XXXX points for a XXXX collection that do n't even exist!! I contacted XXXX and was informed there was no balance on the account and that the credit agency has made a mistake!!! 
I gave XXXX all my info ( account number & social security number ) they looked up my account. ..which by the way is over XXXX years old and said there was NO BALANCE on the account!!!!!! Someone made a mistake and now i have to suffer the consequences with MY CREDIT SCORE DROPPING!!!!!!!",Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1463369
8/8/14,Experian Information Solutions Inc.,OR,97756,Credit reporting,,Incorrect information on credit report,Personal information,,,,Web,Closed with explanation,Yes,Yes,974963
10/8/15,"SELECT PORTFOLIO SERVICING, INC.",MD,21050,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,Yes,1598557
9/23/14,OCWEN LOAN SERVICING LLC,AL,36202,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Older American,Web,Closed with explanation,Yes,Yes,1041582
1/2/16,"Navient Solutions, LLC.",NC,28269,Debt collection,Federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,,Company chooses not to provide a public response,,Web,Closed with explanation,Yes,Yes,1724524
8/15/14,"EQUIFAX, INC.",CA,91307,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,Older American,Web,Closed with explanation,Yes,No,987166
11/15/16,"Select Management Resources, LLC",TX,78410,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Seized/Attempted to seize property,,Company believes it acted appropriately as authorized by contract or law,,Web,Closed with non-monetary relief,Yes,No,2210156
3/27/18,"Convergent Resources, Inc.",OH,431XX,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,The company XXXX XXXX has placed an account on my credit report for a XXXX account that was closed properly in XX/XX/2014. According to my contract with XXXX if I did not receive service in my home I was allowed to terminate. I terminated the account after several attempts to fix the service. I completed a XXXX complaint against XXXX in XX/XX/2014. This derogatory mark on my credit report is a violation of the FCRA.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,N/A,2856187
1/25/14,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60443,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,Yes,No,683468
7/20/12,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75006,Credit card,,Advertising and marketing,,,,Older American,Web,Closed with explanation,No,No,121663
8/31/15,WELLS FARGO & COMPANY,AZ,85255,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,"Older American, Servicemember",Fax,Closed with explanation,Yes,No,1544241
10/23/15,"EQUIFAX, INC.",MT,598XX,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"Equifax began reporting a judgment on my credit report XX/XX/2015. I disputed this and received a copy of an unsigned unfiled judgment. An unsigned unfiled judgment is not a legally binding judgment. Equifax states that I did not respond within the 30 day period but this is incorrect as I was not notified by Equifax of the need to respond. 

I am continuing to dispute this judgment on my credit report. Please provide me with a copy of a judgment signed by a judge with an actual court filing date listed on it or remove this judgment from my credit report immediately. Prove this judgment is what you say it is or remove it. 

I have attached a copy of the purported judgement. It bears no judicial signature, no filing date, and there is no indication who signed it or otherwise. Please provide a copy of the legal document you are reporting or remove it.",,,Web,Closed with explanation,Yes,No,1621225
2/4/16,NAVY FEDERAL CREDIT UNION,VA,23434,Bank account or service,Checking account,"Account opening, closing, or management",,,Company believes it acted appropriately as authorized by contract or law,Servicemember,Referral,Closed with explanation,Yes,No,1773868
5/23/14,"Enova International, Inc.",WI,54722,Payday loan,,Charged fees or interest I didn't expect,,,,Older American,Phone,Closed with explanation,Yes,No,866193
6/9/16,"CITIBANK, N.A.",NY,112XX,Bank account or service,Checking account,"Account opening, closing, or management",,"In XXXX 2016, I was prompted to open a Citibank CitiGold checking account with a bonus offer. The bonus offered XXXX Citi ThankYou points in exchange for opening a CitiGold account and scheduling two bill payments from the newly opened account. XXXX Citi ThankYou points equals {$400.00} in gift cards as stated in the terms and conditions I received when opening this account. 
After enrolling with the promotion code, I contacted Citi and received confirmation that the offer was attached to my account. 
On XXXX XXXX, 2016, I confirmed with Citi that I fulfilled all terms of the offer and to expect my bonus on or before XXXX XXXX, 2016. On XXXX XXXX, 2016, I did not receive my bonus points as promised. 
On XXXX XXXX, 2016, I initiated an online chat via the Citibank website with XXXX and explained that I did not receive my points. XXXX said I should have already received my points. An internal investigation was opened. Case number XXXX. 
On XXXX XXXX, 2016, Citi 's investigations team informed me that my bonus was denied for the following reason : "" There was not a ThankYou Points promotion offered in conjunction with the opening of your account. '' On XXXX XXXX, 2016, I appealed this denial, citing written confirmation from Citi that : The promotional offer is attached to my account and ; I qualified for the promotion and ; I met all requirements to receive my bonus. 
On XXXX XXXX, 2016 XXXX at a Citi customer service center informed me that the offer in question requires the original bonus mail insert, which would have been sent out 6-8 months ago. 
It was explained to me that the original insert is required to prove I qualified for this offer, despite numerous interactions with representatives who assured me I have qualified and met all requirements to receive my bonus. I disposed of this mailer after opening my account, and it is unreasonable to expect customers to keep old advertisements for over 6 months. 
On XXXX XXXX, 2016, My appeal was denied. I appealed again. 
On XXXX XXXX, 2016, XXXX at the Citigold customer service department acknowledged my appeals and attempted to submit my case to the Escalations Unit. She apologized for my experiences and said that many other clients are in the same situation. 




I have been assured by Citi that I met all requirements to receive my bonus, the bank is now refusing to honor their end of the agreement. Citi must credit my account immediately or additional steps will be taken to collect my promised bonus. I am extraordinarily unhappy and suspect that Citi routinely and systematically defrauds their customers. 

Sincerely, XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with non-monetary relief,Yes,No,1962655
11/12/14,"Brennan & Clark, Ltd., LLC",NY,11209,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,,Web,Closed with non-monetary relief,No,No,1112112
1/17/13,Experian Information Solutions Inc.,UT,84120,Credit reporting,,Improper use of my credit report,Received marketing offer after opted out,,,,Web,Closed with explanation,Yes,No,247359
5/9/16,Experian Information Solutions Inc.,CT,6606,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with non-monetary relief,Yes,Yes,1915808
10/8/16,JPMORGAN CHASE & CO.,AZ,850XX,Debt collection,Mortgage,False statements or representation,Attempted to collect wrong amount,"The purpose of this complaint is to clarify the terms and accounting on my clients ' mortgage. My clients suspect that they may be the victims of a predatory loan. They have asked the lender several times for basic documents and accounting, but it has failed to provide this information. 
The debt originated with Chase in 2005 with a balance of approximately {$290000.00}. Over the years, my clients have received XXXX hardship modifications to the loan ( XXXX for unemployment and XXXX for XXXX ). These modifications included a forbearance period. 
As my clients began to receive statements from Chase, they were surprised to find that the new loan balance had grown to approximately {$310000.00} -- an amount greater than the original debt. They made inquiry to Chase but received no relevant explanation of the new balance. My clients then filed a complaint with the Arizona Attorney General 's Office, questioning if the terms of the modifications were predatory. Several days later, Chase sent notice that the debt was transferred to XXXX XXXX XXXX. 
Because of the actions of the banks, I suspect that there are unfair, predatory, abusive and/or deceptive terms in the loan or modifications. Further, because my clients have not been provided with relevant information concerning the debt alleged, they feel they can not make informed decisions about it.",,,Web,Closed with explanation,Yes,Yes,2151658
6/5/14,CAPITAL ONE FINANCIAL CORPORATION,GA,30040,Credit card,,Other,,,,,Referral,Closed with explanation,Yes,No,882536
5/17/12,JPMORGAN CHASE & CO.,CA,92395,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,,Referral,Closed with explanation,Yes,No,82487
3/17/17,"Convergent Resources, Inc.",NC,28364,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,,Web,Closed with explanation,Yes,No,2392196
10/26/16,"PLANET HOME LENDING, LLC",FL,32092,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Servicemember,Phone,Closed,Yes,No,2181185
9/28/13,ENCORE CAPITAL GROUP INC.,TX,76116,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,,Web,Closed with explanation,Yes,Yes,546521
1/27/17,PAYPAL HOLDINGS INC.,PA,193XX,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,"XXXX XXXX, XXXX XXXX XXXX XXXX XX/XX/XXXX Consumer Complaints XXXX Consumer Financial Protection Bureau PayPal Headquarters XXXX via website XX/XX/XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX RE : XX/XX/XXXX statement from XXXX I received the attached creditor demand dated XX/XX/XXXX just after the XXXX. I was surprised as this was the first time I became aware of an outstanding matter with Pay Pal. I have not used Pay Pal in years, and when I joined my use was infrequent. I do not even know my log in credentials. If I owe money for some reason I would appreciate the details. To have revert to a collection agency was unfair and slanderous tactics. 

Kindly provide detail for this matter so we all can arrive at proper satisfaction. 



XXXX",,,Web,Closed with explanation,Yes,No,2314831
4/28/16,WELLS FARGO & COMPANY,CA,92101,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1901575
10/9/16,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CT,6042,Credit reporting,,Incorrect information on credit report,Public record,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,2152969
6/29/16,"Credence Resource Management, LLC",CA,92683,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with non-monetary relief,Yes,No,1990991
4/21/15,UNITED SERVICES AUTOMOBILE ASSOCIATION,TX,782XX,Bank account or service,Checking account,Deposits and withdrawals,,Usaa Bank is always putting holds on my funds on purpose so they can collect nsf fees and I 'm tired of it ... .. They have also rejected payments of my bills when I had the money in my account,Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,No,1339043
7/29/16,"Delta Management Associates, Inc.",MN,55316,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Received bad information about my loan,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Older American,Web,Closed with explanation,Yes,Yes,2038251
3/2/16,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NM,87031,Credit reporting,,Incorrect information on credit report,Account status,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Postal mail,Closed with non-monetary relief,Yes,No,1812518
3/31/15,"EQUIFAX, INC.",VA,232XX,Credit reporting,,Incorrect information on credit report,Information is not mine,"Do n't know what this debt is They are reporting this as a open end account with XXXX late payments XXXX disputed over phone on XXXX/XXXX/15 dispute # XXXX They said the dispute would be taken care of by end of XXXX It was not Wrote letter dated XXXX/XXXX/15 and they then entered another dispute with the dispute number ( even though this is concerning the same dispute ) XXXX. I requested by letter and XXXX by phone that they send me in writing who the creditor is and they have ignored all my request The emails they are sending me are going into my spam folder so I do not open them So now it is going on 2 months and it continues to report more late payments I have not been contacted by any creditor concerning this item I thought by law they had 30 days to let me know what this debt is and if not, they have to remove it I have been denied credit because of this I would appreciate any help on this because they are just letting this drag on",,,Web,Closed with explanation,Yes,Yes,1307948
4/23/15,Premier Recovery Group,KY,402XX,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,"I have informed this company on several occasions that I am not allowed to receive phone calls at work. I spoke to a representative on XXXX/XXXX/15 who assured me he would remove my information from their system and I would receive no further calls at work. He transferred me to an office manager who asked me to verify my social security number. I refused and asked to be mailed information, and he hung up on me. Today, XXXX/XXXX/15, I received a voicemail on my work phone from this same company stating that my claim had been escalated to litigation as I had refused to contact the company and make a statement on my own behalf. Once again, they have left a message on a phone that my supervisor has access to.",,,Web,Closed,No,No,1344932
4/15/15,OCWEN LOAN SERVICING LLC,WI,54754,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,,Phone,Closed with explanation,Yes,No,1331002
2/26/17,"CITIBANK, N.A.",CA,951XX,Credit card,,Billing disputes,,"To Whom It May Concern : I am disputing the charge of {$760.00} from XXXX CA because I was interested in purchasing an electric scooter a.k.a hoverboard, from this company back in XXXX 2015 and because of the price, declined to do so. While I was speaking to the salesperson for almost an hour in an outside flea market, which all the "" stores '' were in a tented area, some of his sales people were surrounding potential customers frequently. I know I had my card scanned from a skimming device that takes your numbers off of your card and was charged. I saw the pending charge later that night when I looked online and it posted permanent two days later. It is a FRAUDULENT charge! I called the merchant the very next day at his phone number on the business card, which was either turned off or when on, I left a message with no return call. The same day, I also tried to email the merchant, but the email bounced back telling me that email address does n't exist. I 've filed complaints with the Attorney General, but was told only my credit card company can help me. I have tried to dispute, but to no avail. I am going to take this as far as possible if you wo n't help me because I have been taken advantage of and had fraud committed against me. I have attached a copy of the merchant 's business card. I 'm sure he is aware of his illegal business practices. Please help me resolve this. Thank you for your assistance!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,2361159
6/26/16,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",HI,967XX,Credit reporting,,Incorrect information on credit report,Account status,"XXXX payments due on XXXX XXXX and XXXX XXXX, 2015 were reported as 30 days late. Although late, they were clearly paid prior to 30 days past due though my electronic banking, refer to the attached bank statements. They both exceeded the minimum amounts due and there was no outstanding balance. I am not reasonably responsible for electronic lags, days off, business hours, or other overly broad/technical system variations beyond consumer control, if any.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Servicemember,Web,Closed with explanation,Yes,No,1985472
